fromNode,fromNode_lat,fromNode_long,toNode,toNode_lat,toNode_long,weight,overhead
306B,1.405853,103.9059333,306D,1.4061131,103.9064785,67.14469792,
306C,1.406426,103.9060078,306A,1.4061209,103.9054158,74.0169411,
306C,1.406426,103.9060078,306B,1.405853,103.9059333,63.89958339,
306C,1.406426,103.9060078,306D,1.4061131,103.9064785,62.77738905,
306D,1.4061131,103.9064785,305A,1.4052051,103.9067226,104.0120513,
306D,1.4061131,103.9064785,305B,1.4053774,103.9063854,82.00710545,
306D,1.4061131,103.9064785,305D,1.4057889,103.9069365,62.31335915,
306D,1.4061131,103.9064785,306B,1.405853,103.9059333,67.14469792,
306D,1.4061131,103.9064785,306C,1.406426,103.9060078,62.77738905,
601A,1.4024859,103.90759,602,1.4032471,103.9072887,90.60258697,
601A,1.4024859,103.90759,601B,1.4022784,103.9078997,41.40415381,
601A,1.4024859,103.90759,601C,1.4027727,103.9080352,58.82502532,
601A,1.4024859,103.90759,601D,1.4029774,103.907682,55.30355815,
601A,1.4024859,103.90759,602C,1.4028063,103.9071823,57.564976,
601B,1.4022784,103.9078997,601A,1.4024859,103.90759,41.40415381,
601B,1.4022784,103.9078997,Punggol Sec/601b,1.40205,103.907837,26.20150174,
601B,1.4022784,103.9078997,601C,1.4027727,103.9080352,56.69915469,
601B,1.4022784,103.9078997,601D,1.4029774,103.907682,80.99990613,
601C,1.4027727,103.9080352,601A,1.4024859,103.90759,58.82502532,
601C,1.4027727,103.9080352,601B,1.4022784,103.9078997,56.69915469,
601C,1.4027727,103.9080352,601D,1.4029774,103.907682,45.35766103,
601C,1.4027727,103.9080352,603B,1.4031873,103.9082131,49.93656785,
601C,1.4027727,103.9080352,603C,1.4034137,103.907916,72.10919567,
601D,1.4029774,103.907682,602,1.4032471,103.9072887,52.96294344,
601D,1.4029774,103.907682,601A,1.4024859,103.90759,55.30355815,
601D,1.4029774,103.907682,601B,1.4022784,103.9078997,80.99990613,
601D,1.4029774,103.907682,601C,1.4027727,103.9080352,45.35766103,
