fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,overhead
614,103.9096363,1.4033493,615A,103.9095691,1.4040051,72.89965097,
614,103.9096363,1.4033493,615B,103.9099181,1.4037658,55.71798207,
614,103.9096363,1.4033493,615C,103.9102826,1.4034879,73.53902887,
301A,103.9062753,1.404157,301B,103.9058892,1.4042851,45.24218055,
301A,103.9062753,1.404157,303A,103.9057605,1.403809,69.01363501,
305A,103.9067226,1.4052051,305B,103.9063854,1.4053774,42.08515884,
305A,103.9067226,1.4052051,305D,103.9069365,1.4057889,68.80269104,
305B,103.9063854,1.4053774,301A,103.9062753,1.404157,135.5007673,
305B,103.9063854,1.4053774,305A,103.9067226,1.4052051,42.08515884,
305B,103.9063854,1.4053774,305D,103.9069365,1.4057889,76.36585206,
305B,103.9063854,1.4053774,306B,103.9059333,1.405853,72.78047208,
305B,103.9063854,1.4053774,306D,103.9064785,1.4061131,82.00710545,
305D,103.9069365,1.4057889,305A,103.9067226,1.4052051,68.80269104,
305D,103.9069365,1.4057889,305B,103.9063854,1.4053774,76.36585206,
305D,103.9069365,1.4057889,306B,103.9059333,1.405853,111.8670916,
305D,103.9069365,1.4057889,306D,103.9064785,1.4061131,62.31335915,
305D,103.9069365,1.4057889,612C,103.907831,1.4051606,121.391852,
306A,103.9054158,1.4061209,306B,103.9059333,1.405853,64.76265872,
306A,103.9054158,1.4061209,306C,103.9060078,1.406426,74.0169411,
306B,103.9059333,1.405853,305B,103.9063854,1.4053774,72.78047208,
306B,103.9059333,1.405853,305D,103.9069365,1.4057889,111.8670916,
306B,103.9059333,1.405853,306A,103.9054158,1.4061209,64.76265872,
306B,103.9059333,1.405853,306C,103.9060078,1.406426,63.89958339,
306B,103.9059333,1.405853,306D,103.9064785,1.4061131,67.14469792,
306C,103.9060078,1.406426,306A,103.9054158,1.4061209,74.0169411,
306C,103.9060078,1.406426,306B,103.9059333,1.405853,63.89958339,
306C,103.9060078,1.406426,306D,103.9064785,1.4061131,62.77738905,
306D,103.9064785,1.4061131,305A,103.9067226,1.4052051,104.0120513,
306D,103.9064785,1.4061131,305B,103.9063854,1.4053774,82.00710545,
306D,103.9064785,1.4061131,305D,103.9069365,1.4057889,62.31335915,
306D,103.9064785,1.4061131,306B,103.9059333,1.405853,67.14469792,
306D,103.9064785,1.4061131,306C,103.9060078,1.406426,62.77738905,
601A,103.90759,1.4024859,602,103.9072887,1.4032471,90.60258697,
601A,103.90759,1.4024859,601B,103.9078997,1.4022784,41.40415381,
601A,103.90759,1.4024859,601C,103.9080352,1.4027727,58.82502532,
601A,103.90759,1.4024859,601D,103.907682,1.4029774,55.30355815,
601A,103.90759,1.4024859,602C,103.9071823,1.4028063,57.564976,
601B,103.9078997,1.4022784,601A,103.90759,1.4024859,41.40415381,
601B,103.9078997,1.4022784,601C,103.9080352,1.4027727,56.69915469,
601B,103.9078997,1.4022784,601D,103.907682,1.4029774,80.99990613,
601C,103.9080352,1.4027727,601A,103.90759,1.4024859,58.82502532,
601C,103.9080352,1.4027727,601B,103.9078997,1.4022784,56.69915469,
601C,103.9080352,1.4027727,601D,103.907682,1.4029774,45.35766103,
601C,103.9080352,1.4027727,603B,103.9082131,1.4031873,49.93656785,
601C,103.9080352,1.4027727,603C,103.907916,1.4034137,72.10919567,
601D,103.907682,1.4029774,602,103.9072887,1.4032471,52.96294344,
601D,103.907682,1.4029774,601A,103.90759,1.4024859,55.30355815,
601D,103.907682,1.4029774,601B,103.9078997,1.4022784,80.99990613,
601D,103.907682,1.4029774,601C,103.9080352,1.4027727,45.35766103,
601D,103.907682,1.4029774,602C,103.9071823,1.4028063,58.74002989,
601D,103.907682,1.4029774,603B,103.9082131,1.4031873,63.49797344,
601D,103.907682,1.4029774,603C,103.907916,1.4034137,54.82337594,
601D,103.907682,1.4029774,604C,103.9075724,1.4036773,78.34663629,
602A,103.9070327,1.4034755,602,103.9072887,1.4032471,38.07192119,
602A,103.9070327,1.4034755,602B,103.9068768,1.4030339,51.82050819,
602A,103.9070327,1.4034755,602C,103.9071823,1.4028063,75.84648678,
602A,103.9070327,1.4034755,604B,103.9072235,1.4039018,51.69969749,
602A,103.9070327,1.4034755,604C,103.9075724,1.4036773,64.07235163,
602B,103.9068768,1.4030339,194,103.9017527,1.3928361,1263.608739,
602B,103.9068768,1.4030339,301,103.9061298,1.4037205,112.5819919,
602B,103.9068768,1.4030339,602,103.9072887,1.4032471,51.54570867,
602B,103.9068768,1.4030339,602A,103.9070327,1.4034755,51.82050819,
602B,103.9068768,1.4030339,602C,103.9071823,1.4028063,42.29932879,
602C,103.9071823,1.4028063,602,103.9072887,1.4032471,50.15908224,
602C,103.9071823,1.4028063,601A,103.90759,1.4024859,57.564976,
602C,103.9071823,1.4028063,601D,103.907682,1.4029774,58.74002989,
602C,103.9071823,1.4028063,602A,103.9070327,1.4034755,75.84648678,
602C,103.9071823,1.4028063,602B,103.9068768,1.4030339,42.29932879,
603A,103.9084722,1.4035487,603,103.9079335,1.4039134,72.25119908,
603A,103.9084722,1.4035487,603B,103.9082131,1.4031873,49.27839548,
603A,103.9084722,1.4035487,603C,103.907916,1.4034137,63.67203573,
603A,103.9084722,1.4035487,613B,103.9082461,1.4043172,88.62382107,
603A,103.9084722,1.4035487,613C,103.9085458,1.404103,61.83654606,
603A,103.9084722,1.4035487,613D,103.9088781,1.4038749,57.80520349,
603A,103.9084722,1.4035487,614A,103.9092319,1.4036136,84.84823744,
603B,103.9082131,1.4031873,603,103.9079335,1.4039134,86.10703563,
603B,103.9082131,1.4031873,601C,103.9080352,1.4027727,49.93656785,
603B,103.9082131,1.4031873,601D,103.907682,1.4029774,63.49797344,
603B,103.9082131,1.4031873,603A,103.9084722,1.4035487,49.27839548,
603B,103.9082131,1.4031873,603C,103.907916,1.4034137,41.47146701,
603C,103.907916,1.4034137,602,103.9072887,1.4032471,72.19962619,
603C,103.907916,1.4034137,603,103.9079335,1.4039134,55.28860919,
603C,103.907916,1.4034137,601C,103.9080352,1.4027727,72.10919567,
603C,103.907916,1.4034137,601D,103.907682,1.4029774,54.82337594,
603C,103.907916,1.4034137,603A,103.9084722,1.4035487,63.67203573,
603C,103.907916,1.4034137,603B,103.9082131,1.4031873,41.47146701,
603C,103.907916,1.4034137,604C,103.9075724,1.4036773,48.08037972,
