,bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,opp
153,3,Opp Punggol Sec/Blk 195E(65289),103.907635,1.401732,way/476147268,103.9074903,1.4019613,,1
154,3,way/476147268,103.9074903,1.4019613,way/476147272,103.9071374,1.4022023,,1
155,3,way/476147272,103.9071374,1.4022023,way/476147274,103.9068376,1.402409,,1
156,3,way/476147274,103.9068376,1.402409,way/476147273,103.9065073,1.4026478,,1
157,3,way/476147273,103.9065073,1.4026478,way/74962086,103.9062669,1.4028164,,1
158,3,way/74962086,103.9062669,1.4028164,way/582412253,103.9060832,1.4029351,,1
159,3,way/582412253,103.9060832,1.4029351,Blk 298(65229),103.9055521,1.4032091,,1
160,3,Blk 298(65229),103.9055521,1.4032091,way/476389393,103.9049679,1.4036357,,1
161,3,way/476389393,103.9049679,1.4036357,way/476389392,103.9046897,1.4038113,,1
162,3,way/476389392,103.9046897,1.4038113,way/620275278,103.9043156,1.4040446,,1
163,3,way/620275278,103.9043156,1.4040446,way/445282964,103.9039709,1.4042547,,1
164,3,way/445282964,103.9039709,1.4042547,way/173767826,103.9037589,1.4042144,,1
165,3,way/173767826,103.9037589,1.4042144,way/445282968,103.9035946,1.4039482,,1
166,3,way/445282968,103.9035946,1.4039482,way/652306771,103.9032771,1.403441,,1
167,3,way/652306771,103.9032771,1.403441,way/724076800,103.9030445,1.4030729,,1
168,3,way/724076800,103.9030445,1.4030729,way/173768002,103.9030095,1.4030891,,1
