bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,direction
34,way/708819911,103.9035459,1.4040253,way/445282971,103.903687,1.404257,30.0493549,0
34,way/445282971,103.903687,1.404257,way/74953813,103.9037954,1.4044306,22.67169002,0
34,way/74953813,103.9037954,1.4044306,way/74962089,103.9038671,1.4044623,8.715196569,0
34,way/74962089,103.9038671,1.4044623,way/445282963,103.9040093,1.4043935,17.55854857,0
34,way/445282963,103.9040093,1.4043935,way/74962070,103.9045282,1.4041069,65.87076863,0
34,way/74962070,103.9045282,1.4041069,Blk 303D (65221),103.9048174,1.4040774,32.34887827,0
34,Blk 303D (65221),103.9048174,1.4040774,way/476389391,103.9050768,1.4037792,43.82454082,0
34,way/476389391,103.9050768,1.4037792,way/476389390,103.9053743,1.4035741,40.13043388,0
34,way/476389390,103.9053743,1.4035741,way/476389868,103.9057294,1.4033408,47.19265239,0
34,way/476389868,103.9057294,1.4033408,way/476389869,103.9060854,1.4030945,48.07602904,0
34,way/476389869,103.9060854,1.4030945,way/74962084,103.9063092,1.4029304,30.81487731,0
34,way/74962084,103.9063092,1.4029304,way/74662287,103.906247,1.4025992,37.2708455,0
34,way/74662287,103.906247,1.4025992,way/174886183,103.9058481,1.4013487,145.2251736,0
34,way/174886183,103.9058481,1.4013487,Opp Blk 296 (65089),103.9058481,1.4013487,0,0
34,Opp Blk 296 (65089),103.9058481,1.4013487,way/476148400,103.9056329,1.4010729,38.77612109,0
34,way/476148400,103.9056329,1.4010729,way/ 476148399,103.9055005,1.4007496,38.66629795,0
34,way/ 476148399,103.9055005,1.4007496,way/476148403,103.905354,1.4004225,39.67372033,0
34,way/476148403,103.905354,1.4004225,way/476148404,103.9052181,1.4001248,36.22617128,0
34,way/476148404,103.9052181,1.4001248,way/174886182,103.9051238,1.3999013,26.8493515,0
34,way/174886182,103.9051238,1.3999013,way/445282972,103.9050308,1.3996857,25.98958761,0
34,way/445282972,103.9050308,1.3996857,Blk 102C (65079),103.9047796,1.3988936,91.93949436,0
34,Blk 102C (65079),103.9047796,1.3988936,way/620576652,103.904365,1.3982583,84.04559643,0
34,way/620576652,103.904365,1.3982583,way/717057840,103.9041902,1.3978999,44.14698738,0
34,way/717057840,103.9041902,1.3978999,way/166722003,103.90415,1.3973321,62.94363511,0
34,way/166722003,103.90415,1.3973321,way/661322721,103.9043975,1.3968151,63.45655643,0
34,way/661322721,103.9043975,1.3968151,way/668176473,103.9047152,1.3965349,47.01045038,0
34,way/668176473,103.9047152,1.3965349,Aft Punggol Rd (65199),103.9055001,1.3959978,105.6265978,0
34 Reverse,Bef Punggol Rd (65191),103.9051626,1.3952405,way/626575145,103.9044675,1.3959093,107.0178926,1
34 Reverse,way/626575145,103.9044675,1.3959093,way/479744511,103.9041934,1.3960503,34.25719834,1
34 Reverse,way/479744511,103.9041934,1.3960503,way/74584466,103.9037406,1.3963029,57.61394109,1
34 Reverse,way/74584466,103.9037406,1.3963029,way/500371481,103.9033917,1.396509,45.02185995,1
34 Reverse,way/500371481,103.9033917,1.396509,way/32776686,103.9033771,1.3965863,8.70049997,1
34 Reverse,way/32776686,103.9033771,1.3965863,way/166721998,103.9035279,1.3968741,35.97734531,1
34 Reverse,way/166721998,103.9035279,1.3968741,way/166722000,103.9036962,1.3972119,41.78496685,1
34 Reverse,way/166722000,103.9036962,1.3972119,way/582412264,103.9038953,1.3976101,49.2916171,1
34 Reverse,way/582412264,103.9038953,1.3976101,Opp Blk 103A (65071),103.9041539,1.3984929,101.7693985,1
34 Reverse,Opp Blk 103A (65071),103.9041539,1.3984929,way/620522273,103.9045689,1.3990071,73.25124171,1
34 Reverse,way/620522273,103.9045689,1.3990071,way/620522272,103.904659,1.3992284,26.44487438,1
34 Reverse,way/620522272,103.904659,1.3992284,way/717055145,103.9047441,1.3994461,25.86811002,1
34 Reverse,way/717055145,103.9047441,1.3994461,way/620522271,103.9048002,1.3995832,16.39504417,1
34 Reverse,way/620522271,103.9048002,1.3995832,way/582412281,103.9048816,1.399756,21.14595055,1
34 Reverse,way/582412281,103.9048816,1.399756,way/174886184,103.9049897,1.3999899,28.52441186,1
34 Reverse,way/174886184,103.9049897,1.3999899,way/582412283,103.9051045,1.4002534,31.81436175,1
34 Reverse,way/582412283,103.9051045,1.4002534,way/74477402,103.9053171,1.4007108,55.83728706,1
34 Reverse,way/74477402,103.9053171,1.4007108,Opp Blk 199C (65081),103.9052968,1.4009585,27.48242195,1
34 Reverse,Opp Blk 199C (65081),103.9052968,1.4009585,way/476148402,103.9055115,1.4011396,31.17515631,1
34 Reverse,way/476148402,103.9055115,1.4011396,way/476148401,103.9056737,1.4015364,47.44408871,1
34 Reverse,way/476148401,103.9056737,1.4015364,way/620272657,103.9058539,1.4020048,55.54008822,1
34 Reverse,way/620272657,103.9058539,1.4020048,way/620272655,103.9060147,1.4024111,48.35933097,1
34 Reverse,way/620272655,103.9060147,1.4024111,way/582412254,103.9061524,1.4027208,37.51737072,1
34 Reverse,way/582412254,103.9061524,1.4027208,way/582412253,103.9060832,1.4029351,24.91617954,1
34 Reverse,way/582412253,103.9060832,1.4029351,Blk 298 (65229),103.9055521,1.4032091,66.41719635,1
34 Reverse,Blk 298 (65229),103.9055521,1.4032091,way/476389393,103.9049679,1.4036357,80.32359486,1
34 Reverse,way/476389393,103.9049679,1.4036357,way/476389392,103.9046897,1.4038113,36.54491326,1
34 Reverse,way/476389392,103.9046897,1.4038113,way/620275278,103.9043156,1.4040446,48.9768571,1
34 Reverse,way/620275278,103.9043156,1.4040446,way/445282964,103.9039709,1.4042547,44.8467983,1
34 Reverse,way/445282964,103.9039709,1.4042547,way/173767826,103.9037589,1.4042144,24.00984319,1
34 Reverse,way/173767826,103.9037589,1.4042144,way/445282968,103.9035946,1.4039482,34.6516832,1
34 Reverse,way/445282968,103.9035946,1.4039482,way/652306771,103.9032771,1.403441,66.28590161,1
34 Reverse,way/652306771,103.9032771,1.403441,way/724076800,103.9030445,1.4030729,48.23637809,1
34 Reverse,way/724076800,103.9030445,1.4030729,way/173768002,103.9030095,1.4030891,4.28719034,1
34 Reverse,way/173768002,103.9030095,1.4030891,way/325024332,103.9026466,1.4033011,46.69620697,1
34 Reverse,way/325024332,103.9026466,1.4033011,Punggol Temp Int (65009),103.9025242,1.404107,90.1474011,1
43,Punggol Temp Int (65009),103.9025242,1.404107,way/173767827,103.9029803,1.4031145,120.9150367,0
43,way/173767827,103.9029803,1.4031145,way/724076802,103.9031708,1.4034225,40.11641526,0
43,way/724076802,103.9031708,1.4034225,way/476395133,103.9034199,1.4038215,52.10565006,0
43,way/476395133,103.9034199,1.4038215,way/708819911,103.9035459,1.4040253,26.54152557,0
43,way/708819911,103.9035459,1.4040253,way/445282971,103.903687,1.404257,30.0493549,0
43,way/445282971,103.903687,1.404257,way/445282965,103.9036444,1.4044462,21.45120375,0
43,way/445282965,103.9036444,1.4044462,Punggol Stn/Int (65259),103.9029973,1.4048048,82.20837157,0
43,Punggol Stn/Int (65259),103.9029973,1.4048048,way/476389387,103.9023343,1.4051681,84.0099913,0
43,way/476389387,103.9023343,1.4051681,way/476389386,103.9021794,1.4052508,19.51357498,0
43,way/476389386,103.9021794,1.4052508,way/476395132,103.9019016,1.405411,35.63069261,0
43,way/476395132,103.9019016,1.405411,way/734884726,103.9015594,1.4056024,43.56795353,0
43,way/734884726,103.9015594,1.4056024,way/476395130,103.9013289,1.4057177,28.64511258,0
43,way/476395130,103.9013289,1.4057177,way/476395125,103.9010459,1.4058786,36.17194541,0
43,way/476395125,103.9010459,1.4058786,way/500373595,103.9008446,1.4059927,25.71039308,0
43,way/500373595,103.9008446,1.4059927,way/582412262,103.9006425,1.4060716,24.12378333,0
43,way/582412262,103.9006425,1.4060716,Bef Blk 264 (65409),103.899574,1.406245,120.4452213,0
43,Bef Blk 264 (65409),103.899574,1.406245,way/476395118,103.8984331,1.4063477,127.4732476,0
43,way/476395118,103.8984331,1.4063477,way/655182285,103.8981845,1.4063513,27.66860878,0
43,way/655182285,103.8981845,1.4063513,way/445716718,103.8978696,1.4063552,35.04667227,0
43,way/445716718,103.8978696,1.4063552,way/445716728,103.8976435,1.4061981,30.57579779,0
43,way/445716728,103.8976435,1.4061981,way/717446182,103.8975195,1.4058358,42.37137986,0
